MAC,IPs,Name,Type,Location,Switch,Port,Notes
90:6D:05:0D:02:66,192.60.1.153,BXB廣播主機,BroadcastSystem,待確認,忠棟交換器_110新增,10,"BXB Electronics 校園廣播系統主機 (NetBIOS:WINDOWS-LCAFA1D, HTTP+SMB) [DHCP:原192.60.1.132→192.60.1.153]"
A0:AD:9F:98:15:E9,192.60.1.154,SMAA10-11301,Desktop,不明,機房Aruba2930F,3,Windows 電腦 (NetBIOS:SMAA10-11301) [DHCP:原192.60.1.129→192.60.1.154]
A0:AD:9F:98:53:68,192.60.1.104,SMAA10-Win130,Desktop,待確認,Cisco-9K,GigabitEthernet1/0/7,Windows 主機 (SMB 135/445) [DHCP:原192.60.1.130→192.60.1.104]
B4:22:00:47:F0:46,192.60.1.138,Brother印表機,Printer,辦公室,孝棟Aruba2930F,12,Brother HL-xxx (172-17-3247F046)
B4:22:00:4F:C7:71,192.60.1.151,Brother印表機-2,Printer,辦公室,機房Aruba2930F,5,Brother MFC-L2715DW
B8:D4:E7:26:2C:E0,192.60.1.251,Aruba 2930F-4,Switch,教室區,2930F-4,(本體),Aruba JL255A 2930F-24G-PoE+
BC:97:E1:4B:6F:02,192.60.1.7,VMware ESXi,Server,機房,2930F-1,1,虛擬化主機
C8:7F:54:16:F2:C8,192.60.1.133,SMAA10-11203,Desktop,不明,2930F-2,7,Windows 10 Enterprise + IIS (NetBIOS:SMAA10-11203) [DHCP:原192.60.1.139→192.60.1.133]
C8:7F:54:16:F3:1F,192.60.1.106,ASUS-Win主機,Desktop,不明,2930F-4,11,ASUSTek(A0:AD:9F)，開FTP/135/139/445，拒絕匿名SMB連線(較安全)，角色待確認 [MAC更新:ASUS] [DHCP:原192.60.1.135→192.60.1.106]
C8:7F:54:16:F3:C1,192.60.1.107,SMAA10-11204,Desktop,不明,2930F-2,7,Windows 10 Enterprise + IIS server (NetBIOS:SMAA10-11204)
C8:7F:54:17:1C:86,,ASUS主機-45,Desktop,待確認,,,ASUS OUI C87F54，Port45
CE:61:D4:81:B1:C2,192.60.1.125,不明-123,Unknown,不明,機房Aruba2930F,12,隨機/未註冊MAC，全埠關閉，角色待確認 [DHCP:原192.60.1.123→192.60.1.125]
D0:09:C8:BA:C1:20,,Cisco設備-27,Switch,待確認,,,Cisco OUI D009C8，Port27，可能交換器
D0:09:C8:BA:C1:47,192.60.1.252,Cisco Catalyst,Switch,機房,Cisco-9K,(本體),Cisco IOS XE 17.6.4 (Cat 9K)
D0:55:09:3C:4F:11,,Nintendo-21,Device,樓層,機房Aruba2930F,20,Nintendo OUI D05509!，Port21 (2930F-A)，Switch主機
DC:A6:32:8E:17:61,192.60.1.21,RPi-21,Device,機房,Cisco-9K,Bluetooth0/4,nmap新增 [Raspberry Pi Trading] | Raspberry Pi (無對外服務埠)
E0:10:7F:2B:AD:C0,192.60.1.42,RuckusAP-42,AP,校園,未確認,-,nmap新增 [Ruckus Wireless] | Ruckus ZoneFlex AP (原誤標Axis攝影機)，SN-421444108127
E0:5F:B5:C2:86:74,,未知-21D,Device,樓層,,,E05FB5，Port21 (2930F-A)
E0:B9:4D:76:CD:3E,,深圳比藍-21E,Device,樓層,,,Shenzhen Bilian E0B94D，Port21，可能IoT/投影
E0:B9:4D:A3:D4:E9,,深圳比藍-21F,Device,樓層,,,Shenzhen Bilian E0B94D，Port21
E0:B9:4D:A3:D4:F4,,深圳比藍-21G,Device,樓層,,,Shenzhen Bilian E0B94D，Port21
E8:1C:A5:CD:BF:C0,192.60.1.245,CX8100-48F,Switch,機房,未確認,-,Aruba 8100 R9W96A
F4:4D:30:45:2E:62,192.60.1.149,SMAA10_GUARD,Desktop,警衛室,DGS-1510,Port 24,Windows 10 警衛室勤務電腦 (NetBIOS:SMAA10_GUARD) [DHCP:原192.60.1.121→192.60.1.149]
F6:65:97:A8:52:60,,未知-23B,Device,樓層,,,local MAC (F66597)，Port23 (2930F-B)
F8:60:F0:2B:04:40,192.60.1.247,Aruba 2930F-2,Switch,機房,2930F-2,(本體),Aruba JL263A 2930F-24G-PoE+
F8:60:F0:2B:C6:A0,192.60.1.248,Aruba 2930F-3,Switch,機房,2930F-3,(本體),Aruba JL263A 2930F-24G-PoE+
F8:60:F0:2B:C6:C0,192.60.1.246,Aruba 2930F-1,Switch,機房,2930F-1,(本體),Aruba JL263A 2930F-24G-PoE+
FC:34:97:3C:D6:18,192.60.1.152,AP-105,AP,不明,2930F-1,6,Fortinet? MAC FC:34:97 ASUS OUI，線上待辨識 [DHCP:原192.60.1.105→192.60.1.152]
FC:34:97:3C:D6:3C,192.60.1.123,Axis攝影機-1,Camera,校園,2930F-4,20,網路攝影機 [MAC更新:ASUS] [DHCP:原192.60.1.125→192.60.1.123]
FC:34:97:3C:D6:D9,192.60.1.124,3年級AP,AP,三年級教室,2930F-4,12,FortiAP-431F [MAC更新:ASUS] [DHCP:原192.60.1.137→192.60.1.124]
IPCam-126,192.60.1.126,Camera,校園,警衛室,,,IP攝影機 Real Server 串流 (RTSP 554/7070)
00:0C:E6:BA:6A:82,,,,,忠棟Aruba2930F,5,新清單來源(2026-08-14)
00:0C:E6:BA:94:C2,,,,,機房Aruba2930F,13,新清單來源(2026-08-14)
00:0C:E6:BA:D4:42,,,,,機房Aruba2930F,14,新清單來源(2026-08-14)
00:0C:E6:BA:E8:42,,,,,忠棟Aruba2930F,19,新清單來源(2026-08-14)
00:0C:E6:BC:5B:C2,,,,,機房Aruba2930F,16,新清單來源(2026-08-14)
00:0C:E6:BC:78:82,,,,,孝棟Aruba2930F,13,新清單來源(2026-08-14)
00:0C:E6:CA:D7:B2,,,,,忠棟Aruba2930F,16,新清單來源(2026-08-14)
00:11:32:66:D0:B6,,Synology,,,機房CX8100,5,新清單來源(2026-08-14)
